AK896.1	AK896.1	nedo
AK57615.1	AK57615.1	nedo
AK57630.1	AK57630.1	nedo
AK57640.1	AK57640.1	nedo
AK57644.1	AK57644.1	nedo
AK57650.1	AK57650.1	nedo
AK57654.1	AK57654.1	nedo
AK57671.1	AK57671.1	nedo
AK93831.1	AK93831.1	nedo
AK93881.1	AK93881.1	nedo
AK93885.1	AK93885.1	nedo
AK93887.1	AK93887.1	nedo
AK93905.1	AK93905.1	nedo
AK93914.1	AK93914.1	nedo
AK93938.1	AK93938.1	nedo
AK93942.1	AK93942.1	nedo
AK93945.1	AK93945.1	nedo
AK93961.1	AK93961.1	nedo
AK98074.1	AK98075.1	nedo
AK98082.1	AK98082.1	nedo
AK98088.1	AK98088.1	nedo
AK98090.1	AK98090.1	nedo
AK98093.1	AK98094.1	nedo
AK98096.1	AK98097.1	nedo
AK98101.1	AK98101.1	nedo
AK98104.1	AK98104.1	nedo
AK98107.1	AK98107.1	nedo
AK98112.1	AK98112.1	nedo
AK98114.1	AK98114.1	nedo
AK98119.1	AK98119.1	nedo
AK98123.1	AK98123.1	nedo
AK98127.1	AK98127.1	nedo
AK98139.1	AK98139.1	nedo
AK98141.1	AK98141.1	nedo
AK98149.1	AK98149.1	nedo
AK98154.1	AK98155.1	nedo
AK98162.1	AK98162.1	nedo
AK98166.1	AK98166.1	nedo
AK128887.1	AK129030.1	nedo
